,reviews,starRating
0,"

  Very very very 100 time very bad product . You have delivered very duplicate copy of t-shirts. I really very disappointed from this bad product. You should never send such a duplicate product. God will give you its reward and you will never be happy in life

",1.0 out of 5 stars
1,"

  3 stars because there is no prize tag and side tag in cloth.Simple cloth and texture is like any t shirt at 399.

",3.0 out of 5 stars
2,"

  Quality of tshirt is really nice. If the price range would be 600-700 then the product would be really amazing👍

",5.0 out of 5 stars
3,"

  I have brought this combo as it shows in the picture it was not grey in colour it’s a grey one and they are so many holes in this and also it’s not even fit and it’s not returnable but before buying they have mentioned its return options I’m ok with white and black T-shirts completely disappointed with the green T-shirt

",2.0 out of 5 stars
4,"

  Product is very nice and fits to me and colours are good. Shirts are very stilish.

",5.0 out of 5 stars
5,"

  Good price but not fitted

",2.0 out of 5 stars
6,"

  As see in the pictures looking good but cloth quality is not upto the mark, I think 900rs s bit much 600 or 650 range tshirts then anyone can purchase.

",3.0 out of 5 stars
7,"

  Good

",5.0 out of 5 stars
8,"

  Good

",5.0 out of 5 stars
9,"

  They are good product . Thank you Amazon . These products I have gifted for my friends dey are happy

",4.0 out of 5 stars
10,"

  Xl not in correct measurement.

",3.0 out of 5 stars
11,"

  T shirt is very small size my recormment is XL size

",2.0 out of 5 stars
12,"

  Clothing Quality is Very Poor

",1.0 out of 5 stars
13,"

  3 sizes all varies from each other

",3.0 out of 5 stars
14,"

  Best quality

",5.0 out of 5 stars
15,"

  Good

",4.0 out of 5 stars
16,"

  Cheating

",1.0 out of 5 stars
17,"

  Okay okay

",3.0 out of 5 stars
18,"

  Like it

",3.0 out of 5 stars
19,"

  dirty product kindly dont purchase it very poor qulity because pic show in good and basically is not for good so i requst to every one dont purchasing it.

",1.0 out of 5 stars
20,"

  Good material, worth the price, fit as expected, fast delivery, all the products are very nice. Happy customer reviews ☺️

",5.0 out of 5 stars
21,"

  White colour t shirt lot of pin hole damage may be it is not new,other two gray and black t shirt is good

",1.0 out of 5 stars
22,"

  Good

",4.0 out of 5 stars
23,"

  Terrible product, especially the print on the t shirt looks so awful, don't even feel like touching it, looks like someone painted it with oil paint, it didn't meet my expectations

",1.0 out of 5 stars
24,"

  Fit is good.. fabric qaulity is not bad.. but when i washed for the first time..lot of colour came out.. and the print on t-shirt got faded a little and I can see tiny tiny black dots of the fabric in between that print..Do not wash it with other clothes as colour comes out..

",4.0 out of 5 stars
25,"




                    The media could not be loaded.
                




   Very bad product don't buy print quality is very bad colour is faded an Amazon return policy is also very bad no one had yet come to receive the product this t-shirt I received 4 days before I saw printed defect so I returned it on the spot but no one get come to receive.

",1.0 out of 5 stars
26,"

  The colour is fine...but not the kind to wear at fancy places. The material isn't able to absorb sweat...so can't wear it while working out as well. Can be used normally.

",3.0 out of 5 stars
27,"

  Like all other mentioned, the print is terrible. At some places the colour is out of the box. Good for wearing it for when household cleaning is done. Not recommended.

",1.0 out of 5 stars
28,"

  As compare to the money product is good bt the print is not up to the mark as shown in the pic already scartches are there test quality and fitting is good....

",3.0 out of 5 stars
29,"

  Worst product shopping so far with Amazon. Do not go by the images. The print is so cheap in terms of quality that it will worsen after a single wash. The color isnt orange and bright white. It is peach(worst version of it) and grey. FRAUD!

",1.0 out of 5 stars
30,"

  The product is very good and comfortable to wear.Color is also good, same as the picture.Order size L and it's fit perfectly.

",4.0 out of 5 stars
31,"

  It was a size bigger for my son, but it fit me very well. Other than that very good quality

",5.0 out of 5 stars
32,"

  Not cotton

",4.0 out of 5 stars
33,"

  Nice product According to price..

",4.0 out of 5 stars
34,"

  The print on the tshirt is off poor quality

",2.0 out of 5 stars
35,"




                    The media could not be loaded.
                




   Very very bad quality.

",1.0 out of 5 stars
36,"

  Go for it. Really happy with the product. Very good material and fit. Worth 1000 for sure.

",5.0 out of 5 stars
37,"

  Perfect size.

",5.0 out of 5 stars
38,"

  Bad quality

",1.0 out of 5 stars
39,"

  neck fitting is not appropriate, it's too large

",1.0 out of 5 stars
40,"

  Like

",4.0 out of 5 stars
41,"

  ✌🏻👍🏻

",4.0 out of 5 stars
42,"

  Not better than good

",1.0 out of 5 stars
43,"

  Good fit

",4.0 out of 5 stars
44,"

  Quality is not good

",3.0 out of 5 stars
45,"

  Print comes out in 2 washes

",2.0 out of 5 stars
46,"

  Size issue and quality also

",1.0 out of 5 stars
47,,1.0 out of 5 stars
48,"

  Cried in tshirt

",1.0 out of 5 stars
49,"

  Nice products

",5.0 out of 5 stars
50,"

  Bkwas

",1.0 out of 5 stars
51,"

  As expected💯

",5.0 out of 5 stars
52,"

  Good

",5.0 out of 5 stars
53,"

  Bad

",1.0 out of 5 stars
54,"

  Good

",4.0 out of 5 stars
55,"

  Beautiful

",5.0 out of 5 stars
56,"

  Bad

",1.0 out of 5 stars
57,"

  To large it is

",1.0 out of 5 stars
58,"

  Good product

",4.0 out of 5 stars
59,"

  Waste of money

",1.0 out of 5 stars
60,"

  This is best quality.

",5.0 out of 5 stars
61,"

  Awsm tshirt

",5.0 out of 5 stars
62,"

  Worst product. This product doesn’t even come with price tag and the quality is also very cheap. It looks like aldready someone used it. Even The size doesn’t fit properly. Doesn’t recommend to anyone.

",1.0 out of 5 stars
63,"

  Worst cloth never suggested ...... deal is just to fool customers... worst t shirt ever buyed ....just disgusting no faith

",1.0 out of 5 stars
64,"

  What a quality check guys..too good. Didnt expect such kinda product from Amazon. Huge Disappointment

",1.0 out of 5 stars
65,"

  Very nice and osm size

",5.0 out of 5 stars
66,"

  I really suggest this product. It's really an awesome. Love it.

",5.0 out of 5 stars
67,"

  I bought two daya beforw today only i weard this shirt but its so small and i planned to return ..when i called customer care they told need prize tag but in that product prize tag is not available

",3.0 out of 5 stars
68,"

  Quality is really good. I was doubting about the quality of shirt as there were mixed reviews. But I felt the shirt was worth for price. Shirt looked exactly as in the picture.

",5.0 out of 5 stars
69,"

  First of all it came without price tag & to return the item they are asking for price tag.Secondly, product is defective.  It has a stain in front white side.I want to return it but I don't know they will accept or not without price tag.  It came without price tag.Edited after a wash:It releases colour.So overall look wise it's good but quality is not good.

",2.0 out of 5 stars
70,"

  Nice combination of colours,fits well and looks cool👍

",4.0 out of 5 stars
71,"

  This is a stylish cotton TShirt only and should not be mistaken for a winterwear.Finishing is good. It is a good product at the price.You will definitely look smart once you wear it. I wear 40 regular fit shirt and XL fits me well.

",4.0 out of 5 stars
72,"

  I love this product perfect fitting.

",5.0 out of 5 stars
73,"

  Good product 😍😍😍😍😍😍

",5.0 out of 5 stars
74,"

  fit as I want so cool and Stylish look

",5.0 out of 5 stars
75,"

  Exactly what I expected it to be, nice fit,  pure cotton, smart looking T-shirt. I loved it.

",4.0 out of 5 stars
76,"

  I really suggest this product. It's really an awesome. Love it.

",5.0 out of 5 stars
77,"

  I bought two daya beforw today only i weard this shirt but its so small and i planned to return ..when i called customer care they told need prize tag but in that product prize tag is not available

",3.0 out of 5 stars
78,"

  Quality is really good. I was doubting about the quality of shirt as there were mixed reviews. But I felt the shirt was worth for price. Shirt looked exactly as in the picture.

",5.0 out of 5 stars
