,reviews,starRating
0,"

  Ordered size 30 twice after a month, but size received is smaller than earlier.

",2.0 out of 5 stars
1,"

  Nice one

",5.0 out of 5 stars
2,"

  Jeans quality is not very good, and fitting is not good.

",1.0 out of 5 stars
3,"

  Wasting money

",1.0 out of 5 stars
4,"

  Good

",4.0 out of 5 stars
5,"

  Go for it

",5.0 out of 5 stars
6,"

  Ordered size 30 twice after a month, but size received is smaller than earlier.

",2.0 out of 5 stars
7,"

  Nice one

",5.0 out of 5 stars
8,"

  Jeans quality is not very good, and fitting is not good.

",1.0 out of 5 stars
9,"

  Wasting money

",1.0 out of 5 stars
10,"

  Good

",4.0 out of 5 stars
11,"

  Go for it

",5.0 out of 5 stars
12,"

  I Lv u amazon, this is very nice products..i lv it so much..Good fiting.....nice cloth...good Price... Thankyou

",5.0 out of 5 stars
13,"

  The previous 32 size which i received the quality was good as expected but it loose completely and the replacement which i received is fit for me and the product quality was not up the mark. Normally fast many year 32 size is best size for me but my first purchase of jean is been confusing  but any way please keep the check.

",1.0 out of 5 stars
14,"

  Dont go on negative reviews those are fake... i dared and ordered it and the jeans is amazing it fits perfect and its of good quality too... go for it

",5.0 out of 5 stars
15,"

  Quality is ok ok not as expected. but the colour is normal blue not like it is in pictures. 750rs is over priced for this

",2.0 out of 5 stars
16,"

  Size of the fant show by the company is very small to our fant size

",2.0 out of 5 stars
17,"

  Worst product quality different from original product

",1.0 out of 5 stars
18,"

  I like the design but not the size.

",2.0 out of 5 stars
19,"

  Worst product

",1.0 out of 5 stars
20,"

  To much good

",5.0 out of 5 stars
21,"

  Perfectly fits as described. The quality is awesome. Super fast delivery by Amazon. I recommend this product.

",5.0 out of 5 stars
22,"

  Suparb product Suparb

",5.0 out of 5 stars
23,"

  overall jeans was awesome.return due to size issue. Ordered 34 got 32 waist.

",5.0 out of 5 stars
24,"

  Light weight comfortable colour combination also amazing but you have to go to the tailor if you want narrow look as it's a straight fir jogger overall nice product

",4.0 out of 5 stars
25,"

  Good quality… dint fade or Color gone after multiple wash

",5.0 out of 5 stars
26,"

  Superb Fit and FInish

",5.0 out of 5 stars
27,"

  It was nice but got large size

",1.0 out of 5 stars
28,"

  Worst fitting and cloth also not as expected

",3.0 out of 5 stars
29,"

  Good Product

",4.0 out of 5 stars
30,"

  This is too large and fitting is loooooose to me

",1.0 out of 5 stars
31,"

  Value for money

",5.0 out of 5 stars
32,"

  Suparb product Suparb

",5.0 out of 5 stars
33,"

  overall jeans was awesome.return due to size issue. Ordered 34 got 32 waist.

",5.0 out of 5 stars
