,reviews,starRating
0,"

  nice product,it's cool

",5.0 out of 5 stars
1,"

  Design and material is good.But it's V small. Sizes are incorrect. A size xxl is actually an L

",3.0 out of 5 stars
2,"

  Nice shirt,ferbric quality is very good...if u like it just go for it...

",5.0 out of 5 stars
3,"

  Fitting of shirt is one size short so oder one bigger than ur regular fitting. The colour is light as seen in picture.... quality is super no dought.

",5.0 out of 5 stars
4,"

  Happy with the quality of the product and fits as expected, but it still does not look that bright as shown in the picture.

",4.0 out of 5 stars
5,"

  Colour n fitting are perfect..but it was made of cotton..expected a mix of denim n cotton..but it wasn't..if u wanna buy denim cloth go for another one...otherwise it is nice 🤩

",5.0 out of 5 stars
6,"

  After washing colour seems little faded type .Otherwise Product is good.

",4.0 out of 5 stars
7,"

  Looks good, however the size chart is bit inaccurate it seems.

",5.0 out of 5 stars
8,"

  The product has exceeded the expectations. The cloth is very comfortable and preferable for Summer. It suits the fashion trend as well!

",5.0 out of 5 stars
9,"

  Very good... Awesome product I’m happy with the material and fit

",5.0 out of 5 stars
10,"

  Awesome product as seen in the picture and nice fitting..😊😊

",5.0 out of 5 stars
11,"

  I am happy to buy this 😍❤️This shirt is amazing.Go for it.Nice 🙂👍

",4.0 out of 5 stars
12,"

  A good cloth with great texture

",5.0 out of 5 stars
13,"

  Nice

",5.0 out of 5 stars
14,"

  Great product but will get completely faded after the first wash in other words will very old faded

",1.0 out of 5 stars
15,"

  Good material

",5.0 out of 5 stars
16,"

  👌👌👌👌👌👌

",5.0 out of 5 stars
17,"

  Very good

",5.0 out of 5 stars
18,"

  Quality is average only. After 2 or 3 wash it will be fade.

",2.0 out of 5 stars
19,"

  Perfect fit, Perfect Look, awesome product

",5.0 out of 5 stars
20,"

  It's fitted perfect.looking vry elegant.am so happy with this product.

",5.0 out of 5 stars
21,"

  Super

",5.0 out of 5 stars
22,"

  Good

",3.0 out of 5 stars
23,"

  Really bad item. So much disappointed.

",1.0 out of 5 stars
24,"

  Quality is gud but size will be little bit smaller as compared to standard sizes it's a slim fit

",5.0 out of 5 stars
25,"

  Looks super cool

",4.0 out of 5 stars
26,"

  Ok

",4.0 out of 5 stars
27,"

  This was unexpected

",1.0 out of 5 stars
28,"

  Good quality

",5.0 out of 5 stars
29,"

  Good

",5.0 out of 5 stars
30,"

  Poor quality... Worst Product to buy...

",1.0 out of 5 stars
31,,4.0 out of 5 stars
32,"

  Very good product.. quality of material is good.

",5.0 out of 5 stars
33,"

  The size is too small and fabric also very worst don't buy this

",1.0 out of 5 stars
34,"

  This product this price range is mediums

",3.0 out of 5 stars
35,"

  Product is of good quality.

",4.0 out of 5 stars
36,"

  Shirt color shading

",5.0 out of 5 stars
37,"

  It is good quality product

",3.0 out of 5 stars
38,"

  This look very classi

",4.0 out of 5 stars
39,"

  Loved the shirt, as same the pictures is uploaded

",5.0 out of 5 stars
40,"

  Nyc product

",5.0 out of 5 stars
41,"

  കളർ കുറവാണു......

",3.0 out of 5 stars
42,"

  Super

",5.0 out of 5 stars
43,"

  Size is not fit

",3.0 out of 5 stars
44,"

  As it is shown in photos

",5.0 out of 5 stars
45,"

  Poor quality

",1.0 out of 5 stars
46,"

  Stuff is not that much good

",3.0 out of 5 stars
47,"

  Dislike

",3.0 out of 5 stars
