,reviews,starRating
0,"

  Thanks amazon. Best product and best quality. And fast delivery easy to buying. Thanks

",5.0 out of 5 stars
1,"

  After wearing the shoes a couple of times my review regarding the same is as follows:Pros.1. Comfortable fit.2. Stylish design.3. Affordable.Cons.1. Attracts sand/dust very easily in outdoor conditions.2. Needs to be wiped with a cloth after every use.

",5.0 out of 5 stars
2,"

  It was pretty amazing to unbox this astonishing pair of shoes, they are really treat to eyes that too in an affordable price. Just keep in mind buy one size smaller than your normal size ..Believe me you would never regret after this purchase ...😊

",5.0 out of 5 stars
3,"

  I bought this shoes for 550 rupees, used it for 2 days and now I am writing its review...PROS1) Soft inner sole which acts as a cushion for my feet and shoes can be used without socks too2) the shoes is not so hard to give itching action if wore barefooted3)the toe end design is good and the strips at the side look awesome4)it is comfortable while walking and the outer sole gives good grip too*value for money* biggest proCONS1) As the soul is softer I think it may not last me for too long

",5.0 out of 5 stars
4,"

  This shoe looks really good (exactly the same as shown in the picture) and the comfort is good too..however my feet size is 10 I ordered number 10 and it was one inch bigger so I ordered for number 9 and guess what it did fit right..Tips: order one size down from your original size

",5.0 out of 5 stars
5,"

  Confort - 9.5/10Style - 10/10Delivery -9/10Quality material- 8/10Fit- 7/10 little bit bigger but still considerable 😁

",5.0 out of 5 stars
6,"

  I normally wear size no 7 so i ordered that size and the shoes that i got was too big for me. There should be universal size that every product needs to follow or atleast amazon should mention the sizes in inches and cm etc so we can atleast get an idea. As a working women i have less time thats why i shop online but what the heck. I am never happy with the product in first attempt of shopping. Kinda fed up with it. 😑

",1.0 out of 5 stars
7,"

  ProsFitting is goodLooks are goodSole is good and comfortableConsLaces are of a inferior qualityAs you tie laces the print will get distortedNo air movement - feets will feel suffocated

",3.0 out of 5 stars
8,"

  I have bought this only in Rs.584! Who doesn't want to add a white sneaker in his collection! So this one is for you of course! Branded,Cheap,Fits well,Hard Soled,Bright in colour. Go for it..

",4.0 out of 5 stars
9,"

  I bought this by ignoring for the umpteenth time the wise adage, that you get what you pay for. In the pictures it looks mildly reminiscent of the Adidas Superstar. At about a ninth of its cost, and a high average rating, you'd believe this is worth it. Well it's not. I ordered a size 10 (UK), and my toes had some headroom to spare. But what's worse, the synthetic fabric of the shoe warps out of shape as you tie the laces. The edge of the 'tongue' or the inner flap presses against the front of your ankle. There is very little support for the arch of the foot. It was unpleasant, and I decided to return it. Your mileage might very, but I'd rather buy the Adidas Superstar if it's ever on sale or if I feel like splurging five grand. Not this one.

",2.0 out of 5 stars
10,"

  Thanks amazon. Best product and best quality. And fast delivery easy to buying. Thanks

",5.0 out of 5 stars
11,"

  After wearing the shoes a couple of times my review regarding the same is as follows:Pros.1. Comfortable fit.2. Stylish design.3. Affordable.Cons.1. Attracts sand/dust very easily in outdoor conditions.2. Needs to be wiped with a cloth after every use.

",5.0 out of 5 stars
12,"

  It was pretty amazing to unbox this astonishing pair of shoes, they are really treat to eyes that too in an affordable price. Just keep in mind buy one size smaller than your normal size ..Believe me you would never regret after this purchase ...😊

",5.0 out of 5 stars
13,"

  I bought this shoes for 550 rupees, used it for 2 days and now I am writing its review...PROS1) Soft inner sole which acts as a cushion for my feet and shoes can be used without socks too2) the shoes is not so hard to give itching action if wore barefooted3)the toe end design is good and the strips at the side look awesome4)it is comfortable while walking and the outer sole gives good grip too*value for money* biggest proCONS1) As the soul is softer I think it may not last me for too long

",5.0 out of 5 stars
14,"

  This shoe looks really good (exactly the same as shown in the picture) and the comfort is good too..however my feet size is 10 I ordered number 10 and it was one inch bigger so I ordered for number 9 and guess what it did fit right..Tips: order one size down from your original size

",5.0 out of 5 stars
15,"

  Confort - 9.5/10Style - 10/10Delivery -9/10Quality material- 8/10Fit- 7/10 little bit bigger but still considerable 😁

",5.0 out of 5 stars
16,"

  I normally wear size no 7 so i ordered that size and the shoes that i got was too big for me. There should be universal size that every product needs to follow or atleast amazon should mention the sizes in inches and cm etc so we can atleast get an idea. As a working women i have less time thats why i shop online but what the heck. I am never happy with the product in first attempt of shopping. Kinda fed up with it. 😑

",1.0 out of 5 stars
17,"

  ProsFitting is goodLooks are goodSole is good and comfortableConsLaces are of a inferior qualityAs you tie laces the print will get distortedNo air movement - feets will feel suffocated

",3.0 out of 5 stars
18,"

  I have bought this only in Rs.584! Who doesn't want to add a white sneaker in his collection! So this one is for you of course! Branded,Cheap,Fits well,Hard Soled,Bright in colour. Go for it..

",4.0 out of 5 stars
19,"

  I bought this by ignoring for the umpteenth time the wise adage, that you get what you pay for. In the pictures it looks mildly reminiscent of the Adidas Superstar. At about a ninth of its cost, and a high average rating, you'd believe this is worth it. Well it's not. I ordered a size 10 (UK), and my toes had some headroom to spare. But what's worse, the synthetic fabric of the shoe warps out of shape as you tie the laces. The edge of the 'tongue' or the inner flap presses against the front of your ankle. There is very little support for the arch of the foot. It was unpleasant, and I decided to return it. Your mileage might very, but I'd rather buy the Adidas Superstar if it's ever on sale or if I feel like splurging five grand. Not this one.

",2.0 out of 5 stars
20,"

  This is very good product i bought it in INR 588/- & it looks very good on blue basic jeans & white shirt...Sparx is made in india menufacturer and company manufacturing petterns like liberty and bata level products...If you think you will get international brand in few penny, you may be wrong....Set your mind to buy it and use it happily...I'm sure you won't be disappointed...Thanks

",5.0 out of 5 stars
21,"

  The Shoe is comfortable and very nice... But only one problem packing.... the packaging is not good... Please packing perfectly other wise amazing. Thanks Amazon

",5.0 out of 5 stars
22,"

  Best you can get at this price , amazing product and size is fit as expected

",5.0 out of 5 stars
23,"

  Absolutely worth buying! I ordered both the variant the black and white one because I was too confused about the colour which one to buy.And trust me guys the white one is beauty 😍.Good build quality 😋Delivered on time 😇

",5.0 out of 5 stars
24,"

  just received this product.. it's worth buying, value for th price.. Sparx edition/ i bought 9size for rs749.. perfect fitting, with great packaging..received the product in just 4 days of placing order..but the product is not delivered by courier  after that i am going to courier centre and take this awesome shoe 👌😍😍

",5.0 out of 5 stars
25,"

  This shoes r awesome guys....quality is good...I will suggest u people if ur size is 10 order for 9....because I had ordered 10 size for me its little loose....but other than that shoes r superb packing was also great....I loved this shoes...go for it

",5.0 out of 5 stars
