,reviews,starRating
0,"

  Perfect fit and good for winter....

",5.0 out of 5 stars
1,"




                    The media could not be loaded.
                




   Order one size bigger than you wear . Best product .  I order XL , height 6feet chest 43"".

",5.0 out of 5 stars
2,"

  Good product. I suggest to buy becoz it is Value for money. But you can say price is high. Price should be less

",5.0 out of 5 stars
3,"

  Product quality is good, colour is lilbit faded.

",4.0 out of 5 stars
4,"

  Garment is warm and fit for wearing as an under jacket sweater, the high neck is the usp, it fits perfectly well, length is just right, can leave it hanging or snug inside jeans pant. Overall, a very good value for money

",5.0 out of 5 stars
5,"

  Put in normal water, not in washing machine. Use Easy wash liquid (just for prevention and good aroma). DO NOT USE IRONING MACHINE. LET IT DRY AFTER WASH. KEEP IT FOR SOME TIME. THEN KEEP IT OUTSIDE TO DRY.

",3.0 out of 5 stars
6,"

  Its not woolen sweater.... it's a poliester material..... its okay if u want to look stylish because it will not provide u warmness and also price is v high i mean v high... when we compare with quality.

",2.0 out of 5 stars
7,"

  Tight fit ...but I wanted a lose so I'm giving just 3 star ...or else..the product is amazing

",3.0 out of 5 stars
8,"

  This is my first time ordering clothes online and therefore, I was extremely worried. But this is awesome. It fits perfectly and the fabric is smooth, neither too thick nor too thin. I examined it thoroughly and found no tear, hole or loose threads either. It stretches too.EDIT Ordered a couple more, but of M size this time. Just as perfect and of excellent quality. Honestly, I can't tell the difference between the S size and M size.

",5.0 out of 5 stars
9,"

  Price are too high compared to product. Too light in weight . Can be used as innerwear cannot depend on only this need to were overcoat over this. Price should be under rs400

",5.0 out of 5 stars
10,"

  Great fit and good product turtle neck with lining on it is very good and you will not find easily at any store there are basic plane turtle neck which's neck will be very looseBut this product is amazing . Go for it must buy

",5.0 out of 5 stars
11,"

  First off, This colour is pure red. I dont think they know what colour ride wine looks like. I dont mind spending 1k but atleast give me same colour. This product is not slim fit, i only wear slim fit so i know, from the arms side yes its tighter than usual but thats about it. its loose on the front, definitely not what u call slim fit.

",2.0 out of 5 stars
12,"

  From that I will never buy any clothes from Amazon, it had no price tag, no brand tag, no nothing.. waste of money

",1.0 out of 5 stars
13,"

  Got what expectedWanted to wear under BlazerLooks awwwsssmmmGood qualityGood colorNice fittingHighly Recomended

",4.0 out of 5 stars
14,"

  I want pure woollen quality but got pure cotton quality ...

",1.0 out of 5 stars
15,"

  The Polo Neck Pullover is good in quality, excellent as winter ware. You should order one size larger for a comfortable fit.

",5.0 out of 5 stars
16,"

  Great product, very attractive and fitted to body

",5.0 out of 5 stars
17,"

  Product received with abnormal structures of one of the hand. Seen some extra repair work has done to cover up .but clearly visible. Before delivery could have been checked the item quality and conditions. No worthy

",1.0 out of 5 stars
18,"

  The picture, is way dark.. while the product is light ash colored , and quality seems okay.

",4.0 out of 5 stars
19,"

  It's a snug fit that keeps you warm and comfortable

",5.0 out of 5 stars
20,"

  Size: MediumFits perfectly. I got what I had been looking for.

",5.0 out of 5 stars
21,"

  It's really tooo gud ...just go for it ..worth for money.....U can go for it without any second thought.... delivery was very fast.... received this parcel in just 5 days... really loved it...I bought xl size white colour.

",5.0 out of 5 stars
22,"

  Gifted to my dad during winter. Tummy will be highligted though.

",5.0 out of 5 stars
23,"

  It's very soft. Warmth is good but it's better to layer it with a jacket or coat. It's not very thick. And is body fit. Looks exactly like the picture.

",5.0 out of 5 stars
24,"

  Good product

",5.0 out of 5 stars
25,"

  I paired it with a grey blazer, black pants, gold chain and a pendent. The look was commendable to say the least.This was surprisingly warm and comfortable. Would recommend to order a size less than your usual.

",5.0 out of 5 stars
26,"

  Amazing fit and it's quite warm and looks perfect.

",5.0 out of 5 stars
27,"

  Quality of this metrial is good as expected.

",5.0 out of 5 stars
28,"

  The sweater length and the sleeve length was too large on me. I wish the Seller had declared the complete size in detail.

",3.0 out of 5 stars
29,"

  I don't like this red color. I have purchase wine color but on the dilvery I have received red 🔴 color so I don't like this color kindly refund my cash my bank account imidetly...Thanks and regardingRajinder

",1.0 out of 5 stars
30,"

  No like this product waist money

",1.0 out of 5 stars
31,"

  👌👌❣️

",5.0 out of 5 stars
32,"

  Waste of money disgusting product. My suggestion is don't buy it

",1.0 out of 5 stars
33,"

  Very light,soft and warm. Easy fit and looks really good after wearing.

",5.0 out of 5 stars
34,"

  Quality is maintained. Nice fabric and fit

",5.0 out of 5 stars
35,"

  Nice turtleneck but over stretchable.

",5.0 out of 5 stars
36,"

  Product is good as expected.

",4.0 out of 5 stars
37,"

  Liked it so much..But i have to buy XL not 2XL

",5.0 out of 5 stars
38,"

  Well fitted, good quality, ideal for regular use also

",4.0 out of 5 stars
39,"

  As expected.

",5.0 out of 5 stars
40,"

  Very good 👍👍 yy

",5.0 out of 5 stars
41,"

  Good product bt little bit long for me...

",4.0 out of 5 stars
42,"

  Perfect

",5.0 out of 5 stars
43,"

  Totally worth it. Super quick Delivery from Amazon

",5.0 out of 5 stars
44,"

  I just love it ❣️

",5.0 out of 5 stars
45,"

  Nice

",5.0 out of 5 stars
