,Unnamed: 0,review,rating_of_review,product_name,product_brand,product_star_rating,product_price
0,0,"

  Good jacket it's warm and helps a lot in rains

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
1,1,"

  Not bad

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
2,2,"

  It's Superb product, excellent quality and very comfortably fit in a budget price.Recommended to who are checking out on this piece. Go ahead.*****

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
3,3,"

  It's comfy, warm, & good looking

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
4,4,"

  This product is old ,tears,and dirty please exchange it.

",3.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
5,5,"

  The stitching on chest level are needed?? They tend to bobble up... Otherwise a very good jacket even in minus temperature. Wore it for a trip to changu lake recently and dint feel any cold even though it was negative temperature there

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
6,6,"

  Bomber, or flight jackets for airmen, should be waterproof, windproof, and of tough tear resistant materiel.This is an ordinary nylon jacket not matching those standards.Should have had many more pockets, at least two on the insides, but this has only two outside pockets.Insulation padding is good for medium winters.

",3.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
7,7,"

  Not too thick. OK for light winters. Fit as expected.

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
8,8,"

  Nice product as good as show in the image lightweight we can wear in summer time also compare to market like local stores its ok product not too bad

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
9,9,"

  The product is good and standard with the offer price (Rs ~886) then. Worth buying it. I would have given 5 Stars if the hood is removable and have 2-3 extra press buttons closure provision apart from the zip in front...but unfortunately its is not detachable.

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
10,10,"

  Good jacket it's warm and helps a lot in rains

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
11,11,"

  Not bad

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
12,12,"

  It's Superb product, excellent quality and very comfortably fit in a budget price.Recommended to who are checking out on this piece. Go ahead.*****

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
13,13,"

  It's comfy, warm, & good looking

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
14,14,"

  This product is old ,tears,and dirty please exchange it.

",3.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
15,15,"

  The stitching on chest level are needed?? They tend to bobble up... Otherwise a very good jacket even in minus temperature. Wore it for a trip to changu lake recently and dint feel any cold even though it was negative temperature there

",5.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
16,16,"

  Bomber, or flight jackets for airmen, should be waterproof, windproof, and of tough tear resistant materiel.This is an ordinary nylon jacket not matching those standards.Should have had many more pockets, at least two on the insides, but this has only two outside pockets.Insulation padding is good for medium winters.

",3.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
17,17,"

  Not too thick. OK for light winters. Fit as expected.

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
18,18,"

  Nice product as good as show in the image lightweight we can wear in summer time also compare to market like local stores its ok product not too bad

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
19,19,"

  The product is good and standard with the offer price (Rs ~886) then. Worth buying it. I would have given 5 Stars if the hood is removable and have 2-3 extra press buttons closure provision apart from the zip in front...but unfortunately its is not detachable.

",4.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
20,20,"

  Stitching coming out under shoulder single stitching it would be better if it's double stitching

",2.0 out of 5 stars,"











OJASS Full Sleeve Solid Men's Black Bomper Jacket










","


Visit the OJASS Store


","



3.8 out of 5 stars




","




Price:

₹799.00 - ₹819.00









 Inclusive of all taxes





"
