,Unnamed: 0,review,rating_of_review,product_name,product_brand,product_star_rating,product_price
0,0,"

  I bought 36s with a normal waist of 32 as reviews fit small. They actually would have fit lil better if I got just one size up. Other than that they are great. Super comfy. Perfect stretch in fabric.Love them

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
1,1,"

  Purchase with confidence.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
2,2,"

  Size was way off far to small, material was not jean material as advertised. Terrible purchase, requesting my funds back and I will send this trash product back

",1.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
3,3,"

  My son usually wears a 29 or 30 and we ordered a 32. He loves the fit.  He is 5'7 and the length was fine.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
4,4,"

  I'm not going to give these pants a good review because I don't want to see anyone else with the moan when I go out just kidding LOL! Great jeans I get a lot of compliments on them five stars

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
5,5,"

  These pants were purchased for my son, they fit perfect he loved them. Not as skinny as I thought and my son is pretty thin. He is wearing the smallest size they offer

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
6,6,"

  I LOVE the design on these jeans. The first day I wore them I received many compliments from friends. I ended up ordering one size larger than I usually wear and they fit perfectly. In hindsight, I probably should have ordered two sizes larger, for after washing them for the first time I came to find that they shrank about an entire size. I've never had an issue with my denims shrinking after washing but these are very noticeably smaller than they were before I washed them. I'll probably try a few things out to attempt to un-shrink them but if unsuccessful they'll be a gift for one of my smaller friends who would probably fit into them perfectly at this point.For reference, I'm a 6'0'' 160lb guy. I usually wear a size 30-32 in jeans.  I ordered the size 32 and they fit quite well, but after seeing the shrinkage, it would've probably been wiser to order another size or two up.

",3.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
7,7,"

  Theses are beautiful!!!!! Ima sorry the the picture doesn’t do these justice!! They are much more beautiful in person!!! Now they’re was a design flaw and the button hole was to big for the button but I’m sure that was just a minor fluke and amazon made that right and actually gave me some credit to my amazon acc. I just got it tailored easy fix but like I said it was fluke and just bad luck. It happens. My bf is going to LOVE these...To help any buyers with sizing my bf is kinda a little guy. About 5’7 about 130-140 (so he says. He’s about prolly 150) slender build and size 30x30 and the size 30 will fit me... if they will fit me they will fit him and they fit me soooo I hope that helps u guys with sizing. I got the black ones with the red designs on them

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
8,8,"

  I am 5'11, 162 and normally wear a 32 so I ordered that -  had to return them.  These are skinny fit but I would recommend going 1 size.  I returned them for a 33 and it's a perfect fit now

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
9,9,"

  Perfect for birthdate 2020.Looks great, fits even better.Bought a similar print shirt, but didn't realize, that these pants have a faint, light green within the pattern, so I decided to wear a black glittery, sweater.

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
10,10,"

  I bought 36s with a normal waist of 32 as reviews fit small. They actually would have fit lil better if I got just one size up. Other than that they are great. Super comfy. Perfect stretch in fabric.Love them

",5.0 out of 5 stars,"











Enrica Men's Casual Printed Jeans Skinny Denim Pants










","


Brand: Enrica


","



4.3 out of 5 stars




","




Price:

₹6,100.00 - ₹10,398.13









 Inclusive of all taxes





"
