,Unnamed: 0,review,rating_of_review,product_name,product_brand,product_star_rating,product_price
0,0,"

  Good product

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
1,1,"

  Shoe's pretty good and comfortable and looks classy as well, didn't find any cons.

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
2,2,"

  The best shoes under 1000rs they are really good and the foam inside is really plushy

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
3,3,"

  1

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
4,4,"

  It is the best product I have wear its sole is very comfortable and the shoe is also good

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
5,5,"

  Comfort 10/10Design 8/10Fitting 10/10It feels like I'm walking on sofa

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
6,6,"

  Great product very light in weight quality is nice design is average

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
7,7,"

  Nice design and comfort good for running and also  we can use it  for casual wearGreat buy👍👍

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
8,8,"

  I really like it with good comfort. Worth it

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
9,9,"

  Good one.

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
10,10,"

  It is good but it only for jogging you cannot play football

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
11,11,"

  Get used shoes.

",2.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
12,12,"

  Value for money.Cushion inside.Very comfortable.Good quality.True to size

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
13,13,"

  I like the product for the comfort and light weight

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
14,14,"

  Ok

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
15,15,"

  Perfect shoes under budget and the comfort is great totally recommend it.

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
16,16,"

  Very poor finishingNot good quality as expected

",2.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
17,17,"

  Product is very good but packaging is damage old packaging

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
18,18,"

  Amazing shoes 🥳 Very nice product very comfortable material ☺️👍

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
19,19,"

  I like the quality of sparx .no.fitting issues. Value for money

",3.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
20,20,"

  V... good product and amazing

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
21,21,"

  Good quality good saol ....

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
22,22,"

  This product is most likely

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
23,23,"

  Best products from spark X

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
24,24,"

  Worthable

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
25,25,"

  Not comfortable

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
26,26,"

  Value for money

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
27,27,"

  Like

",4.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
28,28,"

  Osm product

",5.0 out of 5 stars,"











Sparx Men's Sm-677 Running Shoe










","


Brand: Sparx


","



4.1 out of 5 stars




","




Price:

₹882.00 - ₹1,049.00









 Inclusive of all taxes





"
