,reviews,sentiment
0,You can't imagine such bad quality on name of AmazonThis product has very bad quality it is only a month and this is of no use the road side product are much better than this don't see and buy on name of Amazon,0
1,"The cloth is okay, but the stitches started coming off after the second wash. The entire stitched thread came off at places around the waist and now the elastic is exposed. Very poor quality stitching.",0
2,These are very comfortable to wear. Once you start wearing these pyjamas you will hesitate to wear shorts or trackpant.Size is somewhat bit large. Probably i should have ordered small size rather than medium. So for example if Size 31 fits perfectly choose small size (28-30). I have brought another one small size which just fits perfectly.Thank you Amazon.,2
3,"If you put this into the washing machine, your wife will kill you. The colour bleeds like crazy. Amazon brand Symbol needs to do something about this.",0
4,Very poor quality......got damaged product....fed up with your product quality....regretful..,0
5,Before:Cloth quality : 60/100Size : 90/100Stylish:100/100Comfortable:100%After 2 Months :color going to fadecloth quality sucks,2
6,"'M' size ,Looks very classic ,comfortable and good material with good stichingWorth spending 460/ rsI also tried shirt of brand symbol , they are very good in the range",2
7,"recommending that choose the larger size as anyone wear whatever sized, pyjama are cotton fabric and they are pretty lower type as i compare to the regular pyjama(jockey), wear it after 1 wash because colour fragmentation or fading",2
8,"Product is alright with respect to fabric and comfort. But it is torn as shown on photo and both pockets are of different sizes. One is small and other is big. I did not expect it with Amazon most trusted and biggest retailer Clouldtail, a bit disappointed. Anyways, keeping it considering the current situation otherwise...",1
9,"I ordered this because it is an Amazon brand and looked quite economical. But then, when the price is 'cheap', there is a ""price"" to pay! The cloth quality is quite average (ie, rough cloth for a loungewear), and thus not very comfortable to wear compared to other well known brands. Also, whatever starch or chemical they have used to process the fabric is quite annoyingly smelly. You will have to wash it a few times to get rid of that smell. Size (the length) is short - when you compare with other good brands. So ordering the next or even next-to-next size may be required. Overall, not a good product. Buy it, if your main consideration is just the price and you are willing to put up with all the discomfort!",0
10,"I love these pyjamas! They're soft, comfortable, fit very well, and have excellent quality overall (stitching and material). They look very good too. The fit is just right, relaxed - not to loose and not too tight and super comfortable. In case it matters to you, they have a 2-buttons fly opening.After trying one, I immediately ordered 3 more of these in other colours. I usually use Jockey pyjamas but trust me, these are almost equally good, if not better. The difference in the cost seals the deal (I got these for Rs. 400/- each during the Great Indian Festival Sale while the Jockeys cost a minimum of double this price).I recommend these 100%. Fyi- my experience with the Amazon brands like Symbol and Solimo has always been excellent.",2
